movie_id,title,tags
37724,Skyfall,"['When', ""Bond's"", 'latest', 'assignment', 'goes', 'gravely', 'wrong', 'and', 'agents', 'around', 'the', 'world', 'are', 'exposed,', 'MI6', 'is', 'attacked', 'forcing', 'M', 'to', 'relocate', 'the', 'agency.', 'These', 'events', 'cause', 'her', 'authority', 'and', 'position', 'to', 'be', 'challenged', 'by', 'Gareth', 'Mallory,', 'the', 'new', 'Chairman', 'of', 'the', 'Intelligence', 'and', 'Security', 'Committee.', 'With', 'MI6', 'now', 'compromised', 'from', 'both', 'inside', 'and', 'out,', 'M', 'is', 'left', 'with', 'one', 'ally', 'she', 'can', 'trust:', 'Bond.', '007', 'takes', 'to', 'the', 'shadows', '-', 'aided', 'only', 'by', 'field', 'agent,', 'Eve', '-', 'following', 'a', 'trail', 'to', 'the', 'mysterious', 'Silva,', 'whose', 'lethal', 'and', 'hidden', 'motives', 'have', 'yet', 'to', 'reveal', 'themselves.', 'Action', 'Adventure', 'Thriller', 'spy', 'secretagent', 'sociopath', 'killer', 'artgallery', 'britishsecretservice', 'istanbulturkey', 'imax', 'uzi', 'boobytrap', 'impersonatingapoliceofficer', 'macao', 'DanielCraig', 'JudiDench', 'JavierBardem', 'SamMendes']"
558,Spider-Man 2,"['Peter', 'Parker', 'is', 'going', 'through', 'a', 'major', 'identity', 'crisis.', 'Burned', 'out', 'from', 'being', 'Spider-Man,', 'he', 'decides', 'to', 'shelve', 'his', 'superhero', 'alter', 'ego,', 'which', 'leaves', 'the', 'city', 'suffering', 'in', 'the', 'wake', 'of', 'carnage', 'left', 'by', 'the', 'evil', 'Doc', 'Ock.', 'In', 'the', 'meantime,', 'Parker', 'still', ""can't"", 'act', 'on', 'his', 'feelings', 'for', 'Mary', 'Jane', 'Watson,', 'a', 'girl', ""he's"", 'loved', 'since', 'childhood.', 'Action', 'Adventure', 'Fantasy', 'dualidentity', ""loveofone'slife"", 'pizzaboy', 'marvelcomic', 'sequel', 'superhero', 'doctor', 'scientist', 'tentacle', 'death', 'supervillain', 'TobeyMaguire', 'KirstenDunst', 'JamesFranco', 'SamRaimi']"
68721,Iron Man 3,"['When', 'Tony', ""Stark's"", 'world', 'is', 'torn', 'apart', 'by', 'a', 'formidable', 'terrorist', 'called', 'the', 'Mandarin,', 'he', 'starts', 'an', 'odyssey', 'of', 'rebuilding', 'and', 'retribution.', 'Action', 'Adventure', 'ScienceFiction', 'terrorist', 'waronterror', 'tennessee', 'malibu', 'marvelcomic', 'superhero', 'basedoncomicbook', 'tonystark', 'ironman', 'aftercreditsstinger', 'marvelcinematicuniverse', 'mandarin', '3d', 'warmachine', 'ironpatriot', 'extremis', 'RobertDowneyJr.', 'GwynethPaltrow', 'DonCheadle', 'ShaneBlack']"
12155,Alice in Wonderland,"['Alice,', 'an', 'unpretentious', 'and', 'individual', '19-year-old,', 'is', 'betrothed', 'to', 'a', 'dunce', 'of', 'an', 'English', 'nobleman.', 'At', 'her', 'engagement', 'party,', 'she', 'escapes', 'the', 'crowd', 'to', 'consider', 'whether', 'to', 'go', 'through', 'with', 'the', 'marriage', 'and', 'falls', 'down', 'a', 'hole', 'in', 'the', 'garden', 'after', 'spotting', 'an', 'unusual', 'rabbit.', 'Arriving', 'in', 'a', 'strange', 'and', 'surreal', 'place', 'called', ""'Underland,'"", 'she', 'finds', 'herself', 'in', 'a', 'world', 'that', 'resembles', 'the', 'nightmares', 'she', 'had', 'as', 'a', 'child,', 'filled', 'with', 'talking', 'animals,', 'villainous', 'queens', 'and', 'knights,', 'and', 'frumious', 'bandersnatches.', 'Alice', 'realizes', 'that', 'she', 'is', 'there', 'for', 'a', 'reason', '–', 'to', 'conquer', 'the', 'horrific', 'Jabberwocky', 'and', 'restore', 'the', 'rightful', 'queen', 'to', 'her', 'throne.', 'Family', 'Fantasy', 'Adventure', 'basedonnovel', 'fictionalplace', 'queen', 'fantasy', 'aliceinwonderland', 'fantasyworld', '3d', 'MiaWasikowska', 'JohnnyDepp', 'AnneHathaway', 'TimBurton']"
36668,X-Men: The Last Stand,"['When', 'a', 'cure', 'is', 'found', 'to', 'treat', 'mutations,', 'lines', 'are', 'drawn', 'amongst', 'the', 'X-Men', 'and', 'The', 'Brotherhood,', 'a', 'band', 'of', 'powerful', 'mutants', 'organized', 'under', ""Xavier's"", 'former', 'ally,', 'Magneto.', 'Adventure', 'Action', 'ScienceFiction', 'Thriller', 'mutant', 'marvelcomic', 'basedoncomicbook', 'superhuman', 'beast', 'cyclops', 'aftercreditsstinger', 'HughJackman', 'HalleBerry', 'IanMcKellen', 'BrettRatner']"
62211,Monsters University,"['A', 'look', 'at', 'the', 'relationship', 'between', 'Mike', 'and', 'Sulley', 'during', 'their', 'days', 'at', 'Monsters', 'University', '—', 'when', 'they', ""weren't"", 'necessarily', 'the', 'best', 'of', 'friends.', 'Animation', 'Family', 'monster', 'dormitory', 'games', 'animation', 'bestfriend', 'university', 'scary', 'aftercreditsstinger', 'BillyCrystal', 'JohnGoodman', 'SteveBuscemi', 'DanScanlon']"
8373,Transformers: Revenge of the Fallen,"['Sam', 'Witwicky', 'leaves', 'the', 'Autobots', 'behind', 'for', 'a', 'normal', 'life.', 'But', 'when', 'his', 'mind', 'is', 'filled', 'with', 'cryptic', 'symbols,', 'the', 'Decepticons', 'target', 'him', 'and', 'he', 'is', 'dragged', 'back', 'into', 'the', ""Transformers'"", 'war.', 'ScienceFiction', 'Action', 'Adventure', 'egypt', 'sun', 'chaos', 'symbol', 'artifact', 'transformers', 'tank', 'robot', 'imax', 'duringcreditsstinger', 'ShiaLaBeouf', 'MeganFox', 'JoshDuhamel', 'MichaelBay']"
91314,Transformers: Age of Extinction,"['As', 'humanity', 'picks', 'up', 'the', 'pieces,', 'following', 'the', 'conclusion', 'of', '""Transformers:', 'Dark', 'of', 'the', 'Moon,""', 'Autobots', 'and', 'Decepticons', 'have', 'all', 'but', 'vanished', 'from', 'the', 'face', 'of', 'the', 'planet.', 'However,', 'a', 'group', 'of', 'powerful,', 'ingenious', 'businessman', 'and', 'scientists', 'attempt', 'to', 'learn', 'from', 'past', 'Transformer', 'incursions', 'and', 'push', 'the', 'boundaries', 'of', 'technology', 'beyond', 'what', 'they', 'can', 'control', '-', 'all', 'while', 'an', 'ancient,', 'powerful', 'Transformer', 'menace', 'sets', 'Earth', 'in', 'his', 'cross-hairs.', 'ScienceFiction', 'Action', 'Adventure', 'sequel', 'alien', 'transformers', 'giantrobot', 'robot', 'imax', 'transformingrobot', 'MarkWahlberg', 'StanleyTucci', 'KelseyGrammer', 'MichaelBay']"
68728,Oz: The Great and Powerful,"['Oscar', 'Diggs,', 'a', 'small-time', 'circus', 'illusionist', 'and', 'con-artist,', 'is', 'whisked', 'from', 'Kansas', 'to', 'the', 'Land', 'of', 'Oz', 'where', 'the', 'inhabitants', 'assume', ""he's"", 'the', 'great', 'wizard', 'of', 'prophecy,', 'there', 'to', 'save', 'Oz', 'from', 'the', 'clutches', 'of', 'evil.', 'Fantasy', 'Adventure', 'Family', 'circus', 'witch', 'magic', 'hope', 'illusion', 'lost', 'magictrick', 'wizard', '3d', 'JamesFranco', 'MilaKunis', 'RachelWeisz', 'SamRaimi']"
102382,The Amazing Spider-Man 2,"['For', 'Peter', 'Parker,', 'life', 'is', 'busy.', 'Between', 'taking', 'out', 'the', 'bad', 'guys', 'as', 'Spider-Man', 'and', 'spending', 'time', 'with', 'the', 'person', 'he', 'loves,', 'Gwen', 'Stacy,', 'high', 'school', 'graduation', 'cannot', 'come', 'quickly', 'enough.', 'Peter', 'has', 'not', 'forgotten', 'about', 'the', 'promise', 'he', 'made', 'to', 'Gwen’s', 'father', 'to', 'protect', 'her', 'by', 'staying', 'away,', 'but', 'that', 'is', 'a', 'promise', 'he', 'cannot', 'keep.', 'Things', 'will', 'change', 'for', 'Peter', 'when', 'a', 'new', 'villain,', 'Electro,', 'emerges,', 'an', 'old', 'friend,', 'Harry', 'Osborn,', 'returns,', 'and', 'Peter', 'uncovers', 'new', 'clues', 'about', 'his', 'past.', 'Action', 'Adventure', 'Fantasy', 'obsession', 'marvelcomic', 'sequel', 'basedoncomicbook', 'electrocution', 'medicalexperiment', 'electricity', 'superpowers', 'AndrewGarfield', 'EmmaStone', 'JamieFoxx', 'MarcWebb']"
20526,TRON: Legacy,"['Sam', 'Flynn,', 'the', 'tech-savvy', 'and', 'daring', 'son', 'of', 'Kevin', 'Flynn,', 'investigates', 'his', ""father's"", 'disappearance', 'and', 'is', 'pulled', 'into', 'The', 'Grid.', 'With', 'the', 'help', 'of', 'a', 'mysterious', 'program', 'named', 'Quorra,', 'Sam', 'quests', 'to', 'stop', 'evil', 'dictator', 'Clu', 'from', 'crossing', 'into', 'the', 'real', 'world.', 'Adventure', 'Action', 'ScienceFiction', 'artificialintelligence', 'secretidentity', 'computerprogram', 'dystopia', 'computer', 'deception', 'duel', 'motorcycle', 'neonlight', 'autocracy', 'GarrettHedlund', 'JeffBridges', 'OliviaWilde', 'JosephKosinski']"
49013,Cars 2,"['Star', 'race', 'car', 'Lightning', 'McQueen', 'and', 'his', 'pal', 'Mater', 'head', 'overseas', 'to', 'compete', 'in', 'the', 'World', 'Grand', 'Prix', 'race.', 'But', 'the', 'road', 'to', 'the', 'championship', 'becomes', 'rocky', 'as', 'Mater', 'gets', 'caught', 'up', 'in', 'an', 'intriguing', 'adventure', 'of', 'his', 'own:', 'international', 'espionage.', 'Animation', 'Family', 'Adventure', 'Comedy', 'carrace', 'sequel', 'comedy', 'anthropomorphism', 'bestfriend', 'duringcreditsstinger', 'OwenWilson', 'LarrytheCableGuy', 'MichaelCaine', 'JohnLasseter', 'BradLewis']"
44912,Green Lantern,"['For', 'centuries,', 'a', 'small', 'but', 'powerful', 'force', 'of', 'warriors', 'called', 'the', 'Green', 'Lantern', 'Corps', 'has', 'sworn', 'to', 'keep', 'intergalactic', 'order.', 'Each', 'Green', 'Lantern', 'wears', 'a', 'ring', 'that', 'grants', 'him', 'superpowers.', 'But', 'when', 'a', 'new', 'enemy', 'called', 'Parallax', 'threatens', 'to', 'destroy', 'the', 'balance', 'of', 'power', 'in', 'the', 'Universe,', 'their', 'fate', 'and', 'the', 'fate', 'of', 'Earth', 'lie', 'in', 'the', 'hands', 'of', 'the', 'first', 'human', 'ever', 'recruited.', 'Adventure', 'Action', 'Thriller', 'ScienceFiction', 'dccomics', 'transformation', 'superhero', 'alien', 'alieninfection', 'magicalobject', 'protector', 'superpowers', 'origin', '3d', 'RyanReynolds', 'BlakeLively', 'PeterSarsgaard', 'MartinCampbell']"
10193,Toy Story 3,"['Woody,', 'Buzz,', 'and', 'the', 'rest', 'of', ""Andy's"", 'toys', ""haven't"", 'been', 'played', 'with', 'in', 'years.', 'With', 'Andy', 'about', 'to', 'go', 'to', 'college,', 'the', 'gang', 'find', 'themselves', 'accidentally', 'left', 'at', 'a', 'nefarious', 'day', 'care', 'center.', 'The', 'toys', 'must', 'band', 'together', 'to', 'escape', 'and', 'return', 'home', 'to', 'Andy.', 'Animation', 'Family', 'Comedy', 'hostage', 'college', 'toy', 'barbie', 'animation', 'escape', 'daycare', 'teddybear', 'duringcreditsstinger', 'toycomestolife', 'personification', 'inanimateobjectscomingtolife', 'toystory', 'TomHanks', 'TimAllen', 'NedBeatty', 'LeeUnkrich']"
534,Terminator Salvation,"['All', 'grown', 'up', 'in', 'post-apocalyptic', '2018,', 'John', 'Connor', 'must', 'lead', 'the', 'resistance', 'of', 'humans', 'against', 'the', 'increasingly', 'dominating', 'militaristic', 'robots.', 'But', 'when', 'Marcus', 'Wright', 'appears,', 'his', 'existence', 'confuses', 'the', 'mission', 'as', 'Connor', 'tries', 'to', 'determine', 'whether', 'Wright', 'has', 'come', 'from', 'the', 'future', 'or', 'the', 'past', '--', 'and', 'whether', ""he's"", 'friend', 'or', 'foe.', 'Action', 'ScienceFiction', 'Thriller', 'savingtheworld', 'artificialintelligence', 'prophecy', 'sanfrancisco', 'cyborg', 'killerrobot', 'gasstation', 'post-apocalyptic', 'dystopia', 'army', 'firearm', 'wartime', 'losangeles', 'ChristianBale', 'SamWorthington', 'AntonYelchin', 'McG']"
168259,Furious 7,"['Deckard', 'Shaw', 'seeks', 'revenge', 'against', 'Dominic', 'Toretto', 'and', 'his', 'family', 'for', 'his', 'comatose', 'brother.', 'Action', 'carrace', 'speed', 'revenge', 'suspense', 'car', 'race', 'musclecar', 'VinDiesel', 'PaulWalker', 'DwayneJohnson', 'JamesWan']"
72190,World War Z,"['Life', 'for', 'former', 'United', 'Nations', 'investigator', 'Gerry', 'Lane', 'and', 'his', 'family', 'seems', 'content.', 'Suddenly,', 'the', 'world', 'is', 'plagued', 'by', 'a', 'mysterious', 'infection', 'turning', 'whole', 'human', 'populations', 'into', 'rampaging', 'mindless', 'zombies.', 'After', 'barely', 'escaping', 'the', 'chaos,', 'Lane', 'is', 'persuaded', 'to', 'go', 'on', 'a', 'mission', 'to', 'investigate', 'this', 'disease.', 'What', 'follows', 'is', 'a', 'perilous', 'trek', 'around', 'the', 'world', 'where', 'Lane', 'must', 'brave', 'horrific', 'dangers', 'and', 'long', 'odds', 'to', 'find', 'answers', 'before', 'human', 'civilization', 'falls.', 'Action', 'Drama', 'Horror', 'ScienceFiction', 'Thriller', 'dystopia', 'apocalypse', 'zombie', 'nuclearweapons', 'multipleperspectives', 'zombieapocalypse', 'BradPitt', 'MireilleEnos', 'AbigailHargrove', 'MarcForster']"
127585,X-Men: Days of Future Past,"['The', 'ultimate', 'X-Men', 'ensemble', 'fights', 'a', 'war', 'for', 'the', 'survival', 'of', 'the', 'species', 'across', 'two', 'time', 'periods', 'as', 'they', 'join', 'forces', 'with', 'their', 'younger', 'selves', 'in', 'an', 'epic', 'battle', 'that', 'must', 'change', 'the', 'past', '–', 'to', 'save', 'our', 'future.', 'Action', 'Adventure', 'Fantasy', 'ScienceFiction', '1970s', 'mutant', 'timetravel', 'marvelcomic', 'basedoncomicbook', 'superhuman', 'storm', 'beast', 'aftercreditsstinger', 'changingthepastorfuture', 'HughJackman', 'JamesMcAvoy', 'MichaelFassbender', 'BryanSinger']"
54138,Star Trek Into Darkness,"['When', 'the', 'crew', 'of', 'the', 'Enterprise', 'is', 'called', 'back', 'home,', 'they', 'find', 'an', 'unstoppable', 'force', 'of', 'terror', 'from', 'within', 'their', 'own', 'organization', 'has', 'detonated', 'the', 'fleet', 'and', 'everything', 'it', 'stands', 'for,', 'leaving', 'our', 'world', 'in', 'a', 'state', 'of', 'crisis.', 'With', 'a', 'personal', 'score', 'to', 'settle,', 'Captain', 'Kirk', 'leads', 'a', 'manhunt', 'to', 'a', 'war-zone', 'world', 'to', 'capture', 'a', 'one', 'man', 'weapon', 'of', 'mass', 'destruction.', 'As', 'our', 'heroes', 'are', 'propelled', 'into', 'an', 'epic', 'chess', 'game', 'of', 'life', 'and', 'death,', 'love', 'will', 'be', 'challenged,', 'friendships', 'will', 'be', 'torn', 'apart,', 'and', 'sacrifices', 'must', 'be', 'made', 'for', 'the', 'only', 'family', 'Kirk', 'has', 'left:', 'his', 'crew.', 'Action', 'Adventure', 'ScienceFiction', 'spacecraft', 'friendship', 'sequel', 'futuristic', 'space', 'alien', 'imax', 'spaceopera', 'terroristbombing', '3d', 'ChrisPine', 'ZacharyQuinto', 'ZoeSaldana', 'J.J.Abrams']"
81005,Jack the Giant Slayer,"['The', 'story', 'of', 'an', 'ancient', 'war', 'that', 'is', 'reignited', 'when', 'a', 'young', 'farmhand', 'unwittingly', 'opens', 'a', 'gateway', 'between', 'our', 'world', 'and', 'a', 'fearsome', 'race', 'of', 'giants.', 'Unleashed', 'on', 'the', 'Earth', 'for', 'the', 'first', 'time', 'in', 'centuries,', 'the', 'giants', 'strive', 'to', 'reclaim', 'the', 'land', 'they', 'once', 'lost,', 'forcing', 'the', 'young', 'man,', 'Jack', 'into', 'the', 'battle', 'of', 'his', 'life', 'to', 'stop', 'them.', 'Fighting', 'for', 'a', 'kingdom,', 'its', 'people,', 'and', 'the', 'love', 'of', 'a', 'brave', 'princess,', 'he', 'comes', 'face', 'to', 'face', 'with', 'the', 'unstoppable', 'warriors', 'he', 'thought', 'only', 'existed', 'in', 'legend–and', 'gets', 'the', 'chance', 'to', 'become', 'a', 'legend', 'himself.', 'Action', 'Family', 'Fantasy', 'basedonfairytale', 'giant', 'NicholasHoult', 'EleanorTomlinson', 'EwanMcGregor', 'BryanSinger']"
64682,The Great Gatsby,"['An', 'adaptation', 'of', 'F.', 'Scott', ""Fitzgerald's"", 'Long', 'Island-set', 'novel,', 'where', 'Midwesterner', 'Nick', 'Carraway', 'is', 'lured', 'into', 'the', 'lavish', 'world', 'of', 'his', 'neighbor,', 'Jay', 'Gatsby.', 'Soon', 'enough,', 'however,', 'Carraway', 'will', 'see', 'through', 'the', 'cracks', 'of', ""Gatsby's"", 'nouveau', 'riche', 'existence,', 'where', 'obsession,', 'madness,', 'and', 'tragedy', 'await.', 'Drama', 'Romance', 'basedonnovel', 'infidelity', 'obsession', 'hope', '3d', 'LeonardoDiCaprio', 'TobeyMaguire', 'CareyMulligan', 'BazLuhrmann']"
9543,Prince of Persia: The Sands of Time,"['A', 'rogue', 'prince', 'reluctantly', 'joins', 'forces', 'with', 'a', 'mysterious', 'princess', 'and', 'together,', 'they', 'race', 'against', 'dark', 'forces', 'to', 'safeguard', 'an', 'ancient', 'dagger', 'capable', 'of', 'releasing', 'the', 'Sands', 'of', 'Time', '–', 'gift', 'from', 'the', 'gods', 'that', 'can', 'reverse', 'time', 'and', 'allow', 'its', 'possessor', 'to', 'rule', 'the', 'world.', 'Adventure', 'Fantasy', 'Action', 'Romance', 'persia', 'sandstorm', 'brotheragainstbrother', 'armageddon', 'regent', 'basedonvideogame', 'JakeGyllenhaal', 'GemmaArterton', 'BenKingsley', 'MikeNewell']"
68726,Pacific Rim,"['When', 'legions', 'of', 'monstrous', 'creatures,', 'known', 'as', 'Kaiju,', 'started', 'rising', 'from', 'the', 'sea,', 'a', 'war', 'began', 'that', 'would', 'take', 'millions', 'of', 'lives', 'and', 'consume', ""humanity's"", 'resources', 'for', 'years', 'on', 'end.', 'To', 'combat', 'the', 'giant', 'Kaiju,', 'a', 'special', 'type', 'of', 'weapon', 'was', 'devised:', 'massive', 'robots,', 'called', 'Jaegers,', 'which', 'are', 'controlled', 'simultaneously', 'by', 'two', 'pilots', 'whose', 'minds', 'are', 'locked', 'in', 'a', 'neural', 'bridge.', 'But', 'even', 'the', 'Jaegers', 'are', 'proving', 'nearly', 'defenseless', 'in', 'the', 'face', 'of', 'the', 'relentless', 'Kaiju.', 'On', 'the', 'verge', 'of', 'defeat,', 'the', 'forces', 'defending', 'mankind', 'have', 'no', 'choice', 'but', 'to', 'turn', 'to', 'two', 'unlikely', 'heroes—a', 'washed-up', 'former', 'pilot', '(Charlie', 'Hunnam)', 'and', 'an', 'untested', 'trainee', '(Rinko', 'Kikuchi)—who', 'are', 'teamed', 'to', 'drive', 'a', 'legendary', 'but', 'seemingly', 'obsolete', 'Jaeger', 'from', 'the', 'past.', 'Together,', 'they', 'stand', 'as', ""mankind's"", 'last', 'hope', 'against', 'the', 'mounting', 'apocalypse.', 'Action', 'ScienceFiction', 'Adventure', 'dystopia', 'giantrobot', 'giantmonster', 'apocalypse', 'imax', 'duringcreditsstinger', '3d', 'IdrisElba', 'CharlieHunnam', 'CharlieDay', 'GuillermodelToro']"
38356,Transformers: Dark of the Moon,"['Sam', 'Witwicky', 'takes', 'his', 'first', 'tenuous', 'steps', 'into', 'adulthood', 'while', 'remaining', 'a', 'reluctant', 'human', 'ally', 'of', 'Autobot-leader', 'Optimus', 'Prime.', 'The', 'film', 'centers', 'around', 'the', 'space', 'race', 'between', 'the', 'USSR', 'and', 'the', 'USA,', 'suggesting', 'there', 'was', 'a', 'hidden', 'Transformers', 'role', 'in', 'it', 'all', 'that', 'remains', 'one', 'of', 'the', ""planet's"", 'most', 'dangerous', 'secrets.', 'Action', 'ScienceFiction', 'Adventure', 'moon', 'spacecraft', 'traitor', 'bodyguard', 'alienplanet', 'basedoncartoon', 'transformers', 'giantrobot', 'sabotage', 'worddomination', 'commando', 'duringcreditsstinger', 'ShiaLaBeouf', 'JohnMalkovich', 'KenJeong', 'MichaelBay']"
217,Indiana Jones and the Kingdom of the Crystal Skull,"['Set', 'during', 'the', 'Cold', 'War,', 'the', 'Soviets', '–', 'led', 'by', 'sword-wielding', 'Irina', 'Spalko', '–', 'are', 'in', 'search', 'of', 'a', 'crystal', 'skull', 'which', 'has', 'supernatural', 'powers', 'related', 'to', 'a', 'mystical', 'Lost', 'City', 'of', 'Gold.', 'After', 'being', 'captured', 'and', 'then', 'escaping', 'from', 'them,', 'Indy', 'is', 'coerced', 'to', 'head', 'to', 'Peru', 'at', 'the', 'behest', 'of', 'a', 'young', 'man', 'whose', 'friend', '–', 'and', ""Indy's"", 'colleague', '–', 'Professor', 'Oxley', 'has', 'been', 'captured', 'for', 'his', 'knowledge', 'of', 'the', ""skull's"", 'whereabouts.', 'Adventure', 'Action', 'savingtheworld', 'riddle', 'whip', 'treasure', 'mexicocity', 'leatherjacket', 'machinegun', 'alienphenomenons', 'mayacivilization', 'peru', 'treasurehunt', 'nuclearexplosion', 'refrigerator', 'archaeologist', 'indianajones', 'archeology\xa0', 'HarrisonFord', 'CateBlanchett', 'ShiaLaBeouf', 'StevenSpielberg']"
105864,The Good Dinosaur,"['An', 'epic', 'journey', 'into', 'the', 'world', 'of', 'dinosaurs', 'where', 'an', 'Apatosaurus', 'named', 'Arlo', 'makes', 'an', 'unlikely', 'human', 'friend.', 'Adventure', 'Animation', 'Family', 'tyrannosaurusrex', 'friends', 'alternatehistory', 'dinosaur', 'fear', 'storm', 'nature', 'human', 'journey', 'RaymondOchoa', 'JackBright', 'JeffreyWright', 'PeterSohn']"
62177,Brave,"['Brave', 'is', 'set', 'in', 'the', 'mystical', 'Scottish', 'Highlands,', 'where', 'Mérida', 'is', 'the', 'princess', 'of', 'a', 'kingdom', 'ruled', 'by', 'King', 'Fergus', 'and', 'Queen', 'Elinor.', 'An', 'unruly', 'daughter', 'and', 'an', 'accomplished', 'archer,', 'Mérida', 'one', 'day', 'defies', 'a', 'sacred', 'custom', 'of', 'the', 'land', 'and', 'inadvertently', 'brings', 'turmoil', 'to', 'the', 'kingdom.', 'In', 'an', 'attempt', 'to', 'set', 'things', 'right,', 'Mérida', 'seeks', 'out', 'an', 'eccentric', 'old', 'Wise', 'Woman', 'and', 'is', 'granted', 'an', 'ill-fated', 'wish.', 'Also', 'figuring', 'into', 'Mérida’s', 'quest', '—', 'and', 'serving', 'as', 'comic', 'relief', '—', 'are', 'the', 'kingdom’s', 'three', 'lords:', 'the', 'enormous', 'Lord', 'MacGuffin,', 'the', 'surly', 'Lord', 'Macintosh,', 'and', 'the', 'disagreeable', 'Lord', 'Dingwall.', 'Animation', 'Adventure', 'Comedy', 'Family', 'Action', 'Fantasy', 'scotland', 'rebel', 'bravery', 'kingdom', 'archer', 'wish', 'bear', 'scot', 'rebelliousdaughter', 'turnsintoanimal', 'archery', 'ruins', 'aftercreditsstinger', 'peaceoffering', 'womandirector', 'courage', '3d', 'KellyMacdonald', 'JulieWalters', 'BillyConnolly', 'BrendaChapman', 'MarkAndrews', 'StevePurcell']"
188927,Star Trek Beyond,"['The', 'USS', 'Enterprise', 'crew', 'explores', 'the', 'furthest', 'reaches', 'of', 'uncharted', 'space,', 'where', 'they', 'encounter', 'a', 'mysterious', 'new', 'enemy', 'who', 'puts', 'them', 'and', 'everything', 'the', 'Federation', 'stands', 'for', 'to', 'the', 'test.', 'Action', 'Adventure', 'ScienceFiction', 'sequel', 'stranded', 'hatred', 'spaceopera', 'ChrisPine', 'ZacharyQuinto', 'KarlUrban', 'JustinLin']"
10681,WALL·E,"['WALL·E', 'is', 'the', 'last', 'robot', 'left', 'on', 'an', 'Earth', 'that', 'has', 'been', 'overrun', 'with', 'garbage', 'and', 'all', 'humans', 'have', 'fled', 'to', 'outer', 'space.', 'For', '700', 'years', 'he', 'has', 'continued', 'to', 'try', 'and', 'clean', 'up', 'the', 'mess,', 'but', 'has', 'developed', 'some', 'rather', 'interesting', 'human-like', 'qualities.', 'When', 'a', 'ship', 'arrives', 'with', 'a', 'sleek', 'new', 'type', 'of', 'robot,', 'WALL·E', 'thinks', ""he's"", 'finally', 'found', 'a', 'friend', 'and', 'stows', 'away', 'on', 'the', 'ship', 'when', 'it', 'leaves.', 'Animation', 'Family', 'romanticcomedy', 'BenBurtt', 'ElissaKnight', 'JeffGarlin', 'AndrewStanton']"
5174,Rush Hour 3,"['After', 'an', 'attempted', 'assassination', 'on', 'Ambassador', 'Han,', 'Inspector', 'Lee', 'and', 'Detective', 'Carter', 'are', 'back', 'in', 'action', 'as', 'they', 'head', 'to', 'Paris', 'to', 'protect', 'a', 'French', 'woman', 'with', 'knowledge', 'of', 'the', ""Triads'"", 'secret', 'leaders.', 'Lee', 'also', 'holds', 'secret', 'meetings', 'with', 'a', 'United', 'Nations', 'authority,', 'but', 'his', 'personal', 'struggles', 'with', 'a', 'Chinese', 'criminal', 'mastermind', 'named', 'Kenji,', 'which', 'reveals', 'that', ""it's"", ""Lee's"", 'long-lost...brother.', 'Action', 'Comedy', 'Crime', 'Thriller', 'ambassador', 'ChrisTucker', 'JackieChan', 'HiroyukiSanada', 'BrettRatner']"
14161,2012,"['Dr.', 'Adrian', 'Helmsley,', 'part', 'of', 'a', 'worldwide', 'geophysical', 'team', 'investigating', 'the', 'effect', 'on', 'the', 'earth', 'of', 'radiation', 'from', 'unprecedented', 'solar', 'storms,', 'learns', 'that', 'the', ""earth's"", 'core', 'is', 'heating', 'up.', 'He', 'warns', 'U.S.', 'President', 'Thomas', 'Wilson', 'that', 'the', 'crust', 'of', 'the', 'earth', 'is', 'becoming', 'unstable', 'and', 'that', 'without', 'proper', 'preparations', 'for', 'saving', 'a', 'fraction', 'of', 'the', ""world's"", 'population,', 'the', 'entire', 'race', 'is', 'doomed.', 'Meanwhile,', 'writer', 'Jackson', 'Curtis', 'stumbles', 'on', 'the', 'same', 'information.', 'While', 'the', ""world's"", 'leaders', 'race', 'to', 'build', '""arks""', 'to', 'escape', 'the', 'impending', 'cataclysm,', 'Curtis', 'struggles', 'to', 'find', 'a', 'way', 'to', 'save', 'his', 'family.', 'Meanwhile,', 'volcanic', 'eruptions', 'and', 'earthquakes', 'of', 'unprecedented', 'strength', 'wreak', 'havoc', 'around', 'the', 'world.', 'Action', 'Adventure', 'ScienceFiction', 'civilization', 'naturaldisaster', 'endoftheworld', 'disaster', 'apocalypse', 'destruction', 'volcaniceruption', 'mayan', 'ark', 'solar', 'destructionofmankind', 'JohnCusack', 'AmandaPeet', 'ChiwetelEjiofor', 'RolandEmmerich']"
17979,A Christmas Carol,"['Miser', 'Ebenezer', 'Scrooge', 'is', 'awakened', 'on', 'Christmas', 'Eve', 'by', 'spirits', 'who', 'reveal', 'to', 'him', 'his', 'own', 'miserable', 'existence,', 'what', 'opportunities', 'he', 'wasted', 'in', 'his', 'youth,', 'his', 'current', 'cruelties,', 'and', 'the', 'dire', 'fate', 'that', 'awaits', 'him', 'if', 'he', 'does', 'not', 'change', 'his', 'ways.', 'Scrooge', 'is', 'faced', 'with', 'his', 'own', 'story', 'of', 'growing', 'bitterness', 'and', 'meanness,', 'and', 'must', 'decide', 'what', 'his', 'own', 'future', 'will', 'hold:', 'death', 'or', 'redemption.', 'Animation', 'Drama', 'holiday', 'basedonnovel', 'victorianengland', 'money', 'christmaseve', 'scrooge', 'christmascarol', 'ghost', 'lesson', 'charlesdickens', 'christmas', 'GaryOldman', 'JimCarrey', 'SteveValentine', 'RobertZemeckis']"
